,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,label
41,570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada),1
45,570012257549070337,positive,1.0,,,Virgin America,,arieldaie,,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,,2015-02-23 16:08:07 -0800,Los Angeles,,1
49,570009713447825408,neutral,0.6436,,,Virgin America,,lisaaiko,,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,,2015-02-23 15:58:00 -0800,,,1
50,570009035455344640,neutral,0.6764,,0.0,Virgin America,,grantbrowne,,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,2015-02-23 15:55:18 -0800,Worldwide,Central Time (US & Canada),1
52,570004391731847169,neutral,1.0,,,Virgin America,,2v,,0,@VirginAmerica wish you flew out of Atlanta... Soon?,,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta,Eastern Time (US & Canada),1
55,569996412286582784,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,2015-02-23 15:05:09 -0800,"new york, new york",Eastern Time (US & Canada),1
59,569989504431316993,neutral,1.0,,,Virgin America,,HanlonBrothers,,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,,2015-02-23 14:37:42 -0800,"Gold Coast, Australia",Brisbane,1
67,569973821396152323,negative,1.0,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2015-02-23 13:35:23 -0800,SF ↔ NY,Eastern Time (US & Canada),1
69,569967019958730753,negative,1.0,Lost Luggage,1.0,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada),1
72,569948966873370625,neutral,1.0,,,Virgin America,,jamied7,,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,2015-02-23 11:56:37 -0800,"London, England",London,1
73,569946362126602240,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,2015-02-23 11:46:16 -0800,Los Angeles,,1
74,569942903683813376,positive,1.0,,,Virgin America,,mrmichaellay,,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.","[36.08457854, -115.13780136]",2015-02-23 11:32:31 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada),1
77,569940323746516993,neutral,1.0,,,Virgin America,,TaylorLumsden,,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,,2015-02-23 11:22:16 -0800,"Dallas, Texas",Mountain Time (US & Canada),1
81,569933777931145216,positive,1.0,,,Virgin America,,artisticwritr87,,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,,2015-02-23 10:56:16 -0800,"Seattle, WA",Pacific Time (US & Canada),1
83,569933360564342784,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2015-02-23 10:54:36 -0800,,Pacific Time (US & Canada),1
88,569920824905306113,neutral,0.6545,,0.0,Virgin America,,cabowine,,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,,2015-02-23 10:04:47 -0800,"Los Cabos,Mexico",Arizona,1
91,569913339427434496,neutral,0.6639,,0.0,Virgin America,,losermelon,,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,2015-02-23 09:35:03 -0800,,,1
92,569911816937033728,negative,1.0,Cancelled Flight,1.0,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,2015-02-23 09:29:00 -0800,,,1
93,569911674158731264,negative,1.0,Late Flight,1.0,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2015-02-23 09:28:26 -0800,,Pacific Time (US & Canada),1
94,569911218942517248,neutral,0.6765,,0.0,Virgin America,,yazdanagh,,0,@VirginAmerica why is flight 345 redirected?,,2015-02-23 09:26:37 -0800,,,1
101,569892199690678272,negative,1.0,Late Flight,0.6882,Virgin America,,GunsNDip,,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,,2015-02-23 08:11:03 -0800,,Pacific Time (US & Canada),1
103,569891436100874241,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,"[0.0, 0.0]",2015-02-23 08:08:01 -0800,Floridian from Cincinnati ,Eastern Time (US & Canada),1
104,569887310713479168,negative,1.0,Late Flight,0.3486,Virgin America,,GunsNDip,,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,,2015-02-23 07:51:37 -0800,,Pacific Time (US & Canada),1
106,569884551712886785,negative,1.0,Customer Service Issue,1.0,Virgin America,,BeLeather,,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,"[0.0, 0.0]",2015-02-23 07:40:39 -0800,,Pacific Time (US & Canada),1
113,569872058613673984,positive,0.6779999999999999,,,Virgin America,,Silvanabfer,,0,@VirginAmerica Have a great week 🌞✈,,2015-02-23 06:51:01 -0800,,,1
114,569861209781989377,positive,0.3482,,0.0,Virgin America,,AdamJdubs,,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,,2015-02-23 06:07:54 -0800,Earth,Eastern Time (US & Canada),1
115,569847920192655361,negative,1.0,Late Flight,1.0,Virgin America,,nicholas_v,,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","[26.074379, -80.1416831]",2015-02-23 05:15:06 -0800,,Eastern Time (US & Canada),1
116,569814339785338880,positive,1.0,,,Virgin America,,tstashajones,,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",,2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada),1
117,569777607371128834,positive,1.0,,,Virgin America,,SkateMamas,,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,,2015-02-23 00:35:42 -0800,"Los Angeles, CA",,1
119,569770363623575552,positive,1.0,,,Virgin America,,SamBrittenham,,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",,2015-02-23 00:06:55 -0800,USA,Eastern Time (US & Canada),1
123,569714127792254976,positive,1.0,,,Virgin America,,ptbrodie,,0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,,2015-02-22 20:23:27 -0800,San Francisco,,1
124,569675144353828864,positive,1.0,,,Virgin America,,cheryleng,,0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,"[33.9469039, -118.40716847]",2015-02-22 17:48:33 -0800,,Pacific Time (US & Canada),1
127,569652497947734017,positive,1.0,,,Virgin America,,JKF1897,,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,,2015-02-22 16:18:33 -0800,,,1
130,569642845516275712,negative,1.0,Customer Service Issue,0.6448,Virgin America,,melokudo,,0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,,2015-02-22 15:40:12 -0800,,Eastern Time (US & Canada),1
131,569634318349246464,negative,1.0,Can't Tell,1.0,Virgin America,,ChrysiChrysic,,0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,,2015-02-22 15:06:19 -0800,,,1
132,569633630978310145,neutral,1.0,,,Virgin America,,nikkisixxfan93,,0,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,,2015-02-22 15:03:35 -0800,"Sacramento,California",Pacific Time (US & Canada),1
133,569633279546036224,negative,1.0,Cancelled Flight,0.6875,Virgin America,,ChrysiChrysic,,0,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,,2015-02-22 15:02:11 -0800,,,1
134,569630092273410048,negative,1.0,Late Flight,1.0,Virgin America,,MOCBlogger,,0,@VirginAmerica Another delayed flight? #likingyoulessandless,,2015-02-22 14:49:31 -0800,San Diego,Alaska,1
139,569619569372823552,negative,1.0,Flight Booking Problems,1.0,Virgin America,,GoShar2012,,0,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,,2015-02-22 14:07:43 -0800,"Providence, RI",Eastern Time (US & Canada),1
142,569615109363929088,neutral,0.355,,0.0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,,2015-02-22 13:49:59 -0800,New York City ,Eastern Time (US & Canada),1
143,569614365755899905,negative,0.6889,Late Flight,0.6889,Virgin America,,jarrydosborne,,0,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,,2015-02-22 13:47:02 -0800,New York,Eastern Time (US & Canada),1
145,569609971383586817,negative,1.0,Cancelled Flight,1.0,Virgin America,,mlorenzen,,0,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",,2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada),1
148,569596445680115712,positive,1.0,,,Virgin America,,livingfitly,,0,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,,2015-02-22 12:35:49 -0800,"Washington, DC",Eastern Time (US & Canada),1
149,569596097540132864,negative,1.0,Damaged Luggage,0.6501,Virgin America,,khartline,,0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,,2015-02-22 12:34:26 -0800,Las Vegas,Pacific Time (US & Canada),1
150,569594386066984960,negative,1.0,Damaged Luggage,1.0,Virgin America,,khartline,,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,,2015-02-22 12:27:38 -0800,Las Vegas,Pacific Time (US & Canada),1
151,569586660909973504,neutral,1.0,,,Virgin America,,MACRoxburgh,,0,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,,2015-02-22 11:56:57 -0800,,Atlantic Time (Canada),1
154,569575003248676864,neutral,0.6732,,0.0,Virgin America,,RheaThurman1,,0,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",,2015-02-22 11:10:37 -0800,,,1
155,569574973662232576,neutral,1.0,,,Virgin America,,Osiris91780,,0,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,,2015-02-22 11:10:30 -0800,,,1
165,569494748341407744,negative,1.0,Customer Service Issue,0.7002,Virgin America,,Gr8Fratsby,,0,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,,2015-02-22 05:51:43 -0800,"Washington, DC",Eastern Time (US & Canada),1
166,569482263345307648,neutral,1.0,,,Virgin America,,NewsSWA,,0,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,,2015-02-22 05:02:06 -0800,FL410,Sydney,1
171,569447071910105089,neutral,1.0,,,Virgin America,,Graemelodge5545,,0,@VirginAmerica Lister to my show my on Monday 1230 130,,2015-02-22 02:42:16 -0800,,,1
174,569368160291463168,negative,1.0,Customer Service Issue,0.6777,Virgin America,,MikeWiener,,0,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,,2015-02-21 21:28:42 -0800,,Eastern Time (US & Canada),1
175,569356387785900032,neutral,0.6816,,0.0,Virgin America,,khartline,,0,@VirginAmerica I'd love to know what your policy is for damaged luggage.,,2015-02-21 20:41:55 -0800,Las Vegas,Pacific Time (US & Canada),1
182,569318651502989312,negative,0.6791,Cancelled Flight,0.6791,Virgin America,,meladorri,,0,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,,2015-02-21 18:11:58 -0800,"Boston, MA",Central Time (US & Canada),1
188,569305113589714944,neutral,0.6743,,0.0,Virgin America,,TheNotoriousLEX,,0,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,,2015-02-21 17:18:10 -0800,Chicago ,Central Time (US & Canada),1
195,569282249717194754,negative,1.0,Cancelled Flight,1.0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,,2015-02-21 15:47:19 -0800,New York City ,Eastern Time (US & Canada),1
196,569277854950817792,negative,1.0,Flight Booking Problems,1.0,Virgin America,,lexiesalas,,0,@VirginAmerica trying to book a flight &amp; your site is down 😁,,2015-02-21 15:29:51 -0800,BAYAREA✈️NYC,Pacific Time (US & Canada),1
197,569277352129138688,negative,0.7158,Cancelled Flight,0.7158,Virgin America,,Artenis15,,0,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,,2015-02-21 15:27:52 -0800,MA // Ashton in Wonderland,Eastern Time (US & Canada),1
198,569263837448269826,negative,1.0,Cancelled Flight,1.0,Virgin America,,NancyJFriedman,,0,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,,2015-02-21 14:34:09 -0800,New York City,Eastern Time (US & Canada),1
199,569262527281913857,positive,1.0,,,Virgin America,,JT_Magana,,0,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,,2015-02-21 14:28:57 -0800,,,1
201,569261347688607744,positive,1.0,,,Virgin America,,carabubes,,0,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",,2015-02-21 14:24:16 -0800,"Los Angeles, California",Central Time (US & Canada),1
206,569250469178175488,positive,0.6775,,0.0,Virgin America,,rtw4,,0,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,,2015-02-21 13:41:02 -0800,"Natick, MA, USA",Central Time (US & Canada),1
211,569244860286263297,negative,0.642,Cancelled Flight,0.642,Virgin America,,BigRichTexasPam,,0,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,"[32.8437698, -96.84928399]",2015-02-21 13:18:45 -0800,FREE ADVICE! ,Central Time (US & Canada),1
212,569240250192670720,positive,0.6667,,0.0,Virgin America,,aaronkurlander,,0,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,,2015-02-21 13:00:26 -0800,"New York, NY",Eastern Time (US & Canada),1
218,569229785500680192,negative,1.0,Cancelled Flight,0.6452,Virgin America,,aaronkurlander,,0,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",,2015-02-21 12:18:51 -0800,"New York, NY",Eastern Time (US & Canada),1
221,569223788639821824,negative,1.0,Cancelled Flight,1.0,Virgin America,,propsonline,,0,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,,2015-02-21 11:55:01 -0800,"California, USA",Pacific Time (US & Canada),1
222,569222494952886272,positive,0.6522,,,Virgin America,,carlos89178,,0,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,,2015-02-21 11:49:53 -0800,,,1
223,569221440794271745,positive,1.0,,,Virgin America,,carlos89178,,0,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,,2015-02-21 11:45:41 -0800,,,1
225,569220232293720066,neutral,1.0,,,Virgin America,,alanzeino,,0,"@VirginAmerica it’s just a bug report, guys",,2015-02-21 11:40:53 -0800,San Francisco,Pacific Time (US & Canada),1
226,569218762907324416,negative,1.0,Customer Service Issue,1.0,Virgin America,,DonnellyPatrick,,0,@VirginAmerica hold times at call center are a bit much,,2015-02-21 11:35:03 -0800,SF Bay Area,Pacific Time (US & Canada),1
250,569028851860254720,negative,1.0,Flight Booking Problems,0.6809,Virgin America,,alanzeino,,0,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,,2015-02-20 23:00:24 -0800,San Francisco,Pacific Time (US & Canada),1
254,569011849976348672,positive,1.0,,,Virgin America,,Cydney_Chase,,0,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,,2015-02-20 21:52:51 -0800,#SF#Optimist #Freefalling,Pacific Time (US & Canada),1
256,568977439398821888,neutral,1.0,,,Virgin America,,OriginalTuna,,0,@VirginAmerica any plans to start flying direct from DAL to LAS?,,2015-02-20 19:36:07 -0800,Texas,Central Time (US & Canada),1
257,568977175149293570,neutral,0.6701,,,Virgin America,,ImThankfulRadio,,0,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,"[0.0, 0.0]",2015-02-20 19:35:04 -0800,Washington State,Pacific Time (US & Canada),1
263,568940002849255425,negative,1.0,Customer Service Issue,0.6633,Virgin America,,Alex_Ricardo,,0,@VirginAmerica there is something wrong with you website in Safari iPhone,,2015-02-20 17:07:21 -0800,Montreal,Eastern Time (US & Canada),1
264,568929979981033472,positive,1.0,,,Virgin America,,djchuang,,1,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,"[32.8454782, -96.8504585]",2015-02-20 16:27:32 -0800,"Orange County, CA",Pacific Time (US & Canada),1
266,568928741298012160,negative,1.0,Customer Service Issue,0.6525,Virgin America,,insideout,,0,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,,2015-02-20 16:22:36 -0800,,Central Time (US & Canada),1
268,568926018049691648,neutral,1.0,,,Virgin America,,fromtheleftseat,,0,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,,2015-02-20 16:11:47 -0800,Phoenix AZ,Arizona,1
279,568884848632279041,neutral,1.0,,,Virgin America,,crj_lll,,0,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,,2015-02-20 13:28:11 -0800,"Las Vegas, NV",Pacific Time (US & Canada),1
286,568855933360607232,neutral,0.6791,,0.0,Virgin America,,crj_lll,,0,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,,2015-02-20 11:33:18 -0800,"Las Vegas, NV",Pacific Time (US & Canada),1
288,568850967673896960,negative,1.0,Flight Attendant Complaints,0.6458,Virgin America,,SaraBabs,,0,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,,2015-02-20 11:13:34 -0800,dc,Eastern Time (US & Canada),1
289,568850943359496192,negative,1.0,Bad Flight,0.6979,Virgin America,,AdamSinger,,0,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),"[0.0, 0.0]",2015-02-20 11:13:28 -0800,"San Francisco, CA",Central Time (US & Canada),1
290,568847512372514816,neutral,1.0,,,Virgin America,,crj_lll,,0,@VirginAmerica what is your policy on flying after surgery?,,2015-02-20 10:59:50 -0800,"Las Vegas, NV",Pacific Time (US & Canada),1
299,568828648687591424,neutral,0.6625,,0.0,Virgin America,,SocialMedia305,,0,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,,2015-02-20 09:44:52 -0800,,Eastern Time (US & Canada),1
305,568811384437411840,negative,0.662,Flight Booking Problems,0.662,Virgin America,,chrisaguiar88,,0,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,,2015-02-20 08:36:16 -0800,Massachusetts,,1
310,568795484283736064,neutral,1.0,,,Virgin America,,MarcPerez,,0,@VirginAmerica missed my flight. How does standby work?,,2015-02-20 07:33:05 -0800, California 92705,Pacific Time (US & Canada),1
313,568791035297468416,positive,1.0,,,Virgin America,,Hwoodboy24,,0,@VirginAmerica thank you! I absolutely will 😎,,2015-02-20 07:15:25 -0800,BOS • LA • NYC ,Pacific Time (US & Canada),1
317,568769672922812418,negative,1.0,Customer Service Issue,0.6237,Virgin America,,iamnayr,,0,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",,2015-02-20 05:50:31 -0800,"San Francisco, CA",Pacific Time (US & Canada),1
323,568643040073506816,positive,0.6809,,,Virgin America,,TMAnderson10,,0,@VirginAmerica How about some free drinks on the flight back for the free promo?,,2015-02-19 21:27:20 -0800,"Dallas, TX",,1
326,568630879246901248,neutral,1.0,,,Virgin America,,SSal,,0,@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,,2015-02-19 20:39:00 -0800,"Dutchess County, NY",Eastern Time (US & Canada),1
332,568604690767872000,positive,1.0,,,Virgin America,,imacsweb,,0,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,,2015-02-19 18:54:57 -0800,At an airport near you....,Pacific Time (US & Canada),1
334,568595620002279424,negative,1.0,Flight Booking Problems,0.6406,Virgin America,,El_Nel_81,,0,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,,2015-02-19 18:18:54 -0800,,,1
341,568553610981740544,positive,1.0,,,Virgin America,,SigmaRue,,0,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",,2015-02-19 15:31:58 -0800,"Portland, OR",Pacific Time (US & Canada),1
345,568532221180534784,negative,0.6558,Late Flight,0.6558,Virgin America,,bonniecamp,,1,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!",,2015-02-19 14:06:59 -0800,,,1
348,568522203198697474,negative,0.6436,Can't Tell,0.324,Virgin America,,taygarrett,,0,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???",,2015-02-19 13:27:10 -0800,san francisco,Eastern Time (US & Canada),1
351,568517565548339200,negative,0.7223,longlines,0.7223,Virgin America,,c_crubin,,0,"@VirginAmerica
wjere is our luggage #so slow at lax",,2015-02-19 13:08:44 -0800,,London,1
353,568511755040657409,negative,1.0,Customer Service Issue,0.6581,Virgin America,,richeyvicious,,0,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",,2015-02-19 12:45:39 -0800,"LES, NYC",,1
355,568496820604821505,negative,0.654,Flight Booking Problems,0.3438,Virgin America,,taygarrett,,0,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",,2015-02-19 11:46:18 -0800,san francisco,Eastern Time (US & Canada),1
360,568483591623208961,neutral,1.0,,,Virgin America,,MajorPaayne,,0,@VirginAmerica i would like help with some flights please.,,2015-02-19 10:53:44 -0800,,Central Time (US & Canada),1
363,568478510538493952,positive,0.6548,,,Virgin America,,_kristenicole_,,0,@VirginAmerica ok! first time flying with you tonight :),,2015-02-19 10:33:33 -0800,☂ Seattle | WA,Eastern Time (US & Canada),1
368,568463244035289088,negative,1.0,Bad Flight,1.0,Virgin America,,wmrrock,,0,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,"[0.0, 0.0]",2015-02-19 09:32:53 -0800,CT,Eastern Time (US & Canada),1
373,568452676452806656,neutral,0.6837,,,Virgin America,,0504Traveller,,0,"@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift",,2015-02-19 08:50:54 -0800,,Central Time (US & Canada),1
