,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,label
193,569298165855338497,positive,1.0,,,Virgin America,,lexiesalas,,0,@VirginAmerica thanks!,,2015-02-21 16:50:34 -0800,BAYAREA✈️NYC,Pacific Time (US & Canada),3
194,569290361870426112,negative,1.0,Flight Booking Problems,0.6648,Virgin America,,MaximWheatley,,0,@VirginAmerica Just DM'd. Same issue persisting.,,2015-02-21 16:19:33 -0800,"Washington, DC",Atlantic Time (Canada),3
229,569209566715469824,positive,1.0,,,Virgin America,,jennifer_caron,,0,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,,2015-02-21 10:58:30 -0800,"Los Angeles, CA",Pacific Time (US & Canada),3
230,569208480793567233,positive,0.6899,,,Virgin America,,miaerolinea,,0,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",,2015-02-21 10:54:11 -0800,Worldwide,Caracas,3
231,569205125278859265,positive,1.0,,,Virgin America,,ninjasistah,,0,@VirginAmerica thanks so much!,,2015-02-21 10:40:51 -0800,Massachusetts,Eastern Time (US & Canada),3
249,569083230361673728,negative,0.6706,Bad Flight,0.3514,Virgin America,,eatgregeat,,0,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews","[26.06726717, -80.14433663]",2015-02-21 02:36:29 -0800,,Eastern Time (US & Canada),3
253,569018352464588800,neutral,0.6598,,,Virgin America,,woawABQ,,0,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",,2015-02-20 22:18:41 -0800,"Albuquerque, NM",,3
258,568972394297077760,positive,1.0,,,Virgin America,,AnnaProsser,,0,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",,2015-02-20 19:16:04 -0800,USA,Pacific Time (US & Canada),3
267,568928605226426370,neutral,1.0,,,Virgin America,,AirlineFuel,,0,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,,2015-02-20 16:22:04 -0800,Global,Sydney,3
270,568920614716600320,neutral,0.6803,,,Virgin America,,Kevin_E_Park,,0,@VirginAmerica way to take advantage of #MayweatherPacquiao :),,2015-02-20 15:50:19 -0800,,Pacific Time (US & Canada),3
272,568911350656675841,positive,1.0,,,Virgin America,,drsaadiaim,,0,@VirginAmerica your inflight team makes the experience #amazing!,,2015-02-20 15:13:30 -0800,Boca Raton FL 33434,,3
275,568898405189038080,neutral,1.0,,,Virgin America,,AirlineFuel,,0,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,,2015-02-20 14:22:04 -0800,Global,Sydney,3
277,568890074164809728,positive,0.6776,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),,2015-02-20 13:48:57 -0800,Follow/Retweet for giveaways!,,3
287,568853685855334400,negative,1.0,Can't Tell,0.6421,Virgin America,,Yorkshire_D,,0,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,,2015-02-20 11:24:22 -0800,,,3
302,568823689422053376,neutral,1.0,,,Virgin America,,StevenMYoung,,0,@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,,2015-02-20 09:25:10 -0800,"Brooklyn, NY",Eastern Time (US & Canada),3
303,568815689684815873,positive,1.0,,,Virgin America,,thecompostcook,,0,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,"[37.77465018, -122.44032176]",2015-02-20 08:53:23 -0800,"New York, NY",Eastern Time (US & Canada),3
304,568812046747201537,negative,1.0,Lost Luggage,1.0,Virgin America,,snellbell,,1,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",,2015-02-20 08:38:54 -0800,,Quito,3
307,568803996774879232,positive,0.6884,,,Virgin America,,GabriellaDago,,0,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",,2015-02-20 08:06:55 -0800,New York City,Eastern Time (US & Canada),3
308,568802396907835393,positive,0.6658,,,Virgin America,,AdamSinger,,0,@VirginAmerica happy to spend the day together. Let's do this!,,2015-02-20 08:00:33 -0800,"San Francisco, CA",Central Time (US & Canada),3
309,568800805475782656,neutral,0.375,,0.0,Virgin America,,GabriellaDago,,0,@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,,2015-02-20 07:54:14 -0800,New York City,Eastern Time (US & Canada),3
322,568646087361355776,neutral,0.6667,,,Virgin America,,chet,,0,@VirginAmerica add DTW and I'm sold!,,2015-02-19 21:39:26 -0800,,Pacific Time (US & Canada),3
324,568633361595412481,positive,1.0,,,Virgin America,,SSal,,0,@VirginAmerica @SSal thanks!,,2015-02-19 20:48:52 -0800,"Dutchess County, NY",Eastern Time (US & Canada),3
325,568632394929958912,neutral,0.6354,,,Virgin America,,SoleXclusive415,,0,@VirginAmerica momma I made it! 😁😁😁,,2015-02-19 20:45:02 -0800,Bay Area,,3
331,568605449659895808,positive,0.6482,,,Virgin America,,SuuperG,,0,@VirginAmerica Thanks!,,2015-02-19 18:57:58 -0800,Wandering So-Cal-ian,Pacific Time (US & Canada),3
333,568602941940043776,positive,1.0,,,Virgin America,,SuuperG,,0,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,,2015-02-19 18:48:00 -0800,Wandering So-Cal-ian,Pacific Time (US & Canada),3
337,568577243200376833,neutral,0.6559,,,Virgin America,,traveldg,,0,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd","[33.94696831, -118.40747994]",2015-02-19 17:05:53 -0800,San Francisco,,3
343,568541317816561664,neutral,1.0,,,Virgin America,,AArt763,,0,@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,,2015-02-19 14:43:07 -0800,,Arizona,3
350,568518985056002049,negative,1.0,Bad Flight,0.6723,Virgin America,,BlackFlagShoppe,,0,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",,2015-02-19 13:14:23 -0800,”Straight Outta Jersey”,Central Time (US & Canada),3
352,568517447847780353,neutral,0.6925,,,Virgin America,,fromtheleftseat,,0,@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,,2015-02-19 13:08:16 -0800,Phoenix AZ,Arizona,3
354,568511474580066304,negative,1.0,Flight Booking Problems,0.6725,Virgin America,,richeyvicious,,0,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,,2015-02-19 12:44:32 -0800,"LES, NYC",,3
358,568491256508231680,positive,1.0,,,Virgin America,,alexster4324,,0,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",,2015-02-19 11:24:12 -0800,,,3
361,568483491819753472,neutral,0.6624,,0.0,Virgin America,,giannilee,,0,Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,,2015-02-19 10:53:21 -0800,VFILES DJ CHAMPION,Eastern Time (US & Canada),3
362,568481985221537792,positive,1.0,,,Virgin America,,Rgulojr,,0,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,,2015-02-19 10:47:21 -0800,Chicago,Eastern Time (US & Canada),3
364,568476562376531969,neutral,0.6696,,,Virgin America,,CuteMonsterDad,,0,@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,,2015-02-19 10:25:48 -0800,3rd Planet from the Sun,Central Time (US & Canada),3
370,568458513636134913,negative,1.0,Customer Service Issue,1.0,Virgin America,,Matthewbenz,,0,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,,2015-02-19 09:14:05 -0800,San Francisco,Pacific Time (US & Canada),3
382,568428224813916160,neutral,1.0,,,Virgin America,,chase_f,,0,@VirginAmerica I need a receipt for a flight change. Can you send one?,,2015-02-19 07:13:44 -0800,"San Francisco, CA",Quito,3
395,568245360998658048,positive,1.0,,,Virgin America,,GeorgettePierre,,0,@VirginAmerica thank you,,2015-02-18 19:07:06 -0800,your third eye...,Eastern Time (US & Canada),3
401,568204964742496256,positive,1.0,,,Virgin America,,eganist,,0,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",,2015-02-18 16:26:34 -0800,Washington D.C.,Eastern Time (US & Canada),3
412,568146157534367744,positive,1.0,,,Virgin America,,wmrrock,,0,@VirginAmerica got it. All set - Thanks!,"[0.0, 0.0]",2015-02-18 12:32:54 -0800,CT,Eastern Time (US & Canada),3
414,568142526110019584,neutral,1.0,,,Virgin America,,wmrrock,,0,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,"[0.0, 0.0]",2015-02-18 12:18:28 -0800,CT,Eastern Time (US & Canada),3
415,568140092453179394,positive,1.0,,,Virgin America,,JCervantezzz,,0,@VirginAmerica Giants and Virgin America. A match made in heaven.,,2015-02-18 12:08:48 -0800,"California, San Francisco",Pacific Time (US & Canada),3
416,568140010458894338,positive,1.0,,,Virgin America,,GabriellaDago,,0,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!",,2015-02-18 12:08:28 -0800,New York City,Eastern Time (US & Canada),3
417,568136946016522240,negative,1.0,Can't Tell,1.0,Virgin America,,wmrrock,,0,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.,"[0.0, 0.0]",2015-02-18 11:56:18 -0800,CT,Eastern Time (US & Canada),3
421,568120102660341760,positive,1.0,,,Virgin America,,ctpsts,,0,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker,,2015-02-18 10:49:22 -0800,,,3
430,568093957080551424,positive,0.6522,,,Virgin America,,stopasyougo,,0,@VirginAmerica OMG FINALLY,,2015-02-18 09:05:28 -0800,,Central Time (US & Canada),3
436,568068214325784576,positive,1.0,,,Virgin America,,dreamerintexas,,0,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,,2015-02-18 07:23:11 -0800,austin dallas chile london,Central Time (US & Canada),3
443,568050777744379904,positive,1.0,,,Virgin America,,letherebeflight,,0,@VirginAmerica Congrats VX on the new route! ✈️🎉,,2015-02-18 06:13:53 -0800,,,3
447,567972174398689280,negative,1.0,Damaged Luggage,0.3434,Virgin America,,total_janarchy,,0,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,,2015-02-18 01:01:33 -0800,,Eastern Time (US & Canada),3
463,567828603976597504,positive,0.6858,,0.0,Virgin America,,myvortex,,0,"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",,2015-02-17 15:31:03 -0800,could be anywhere,,3
464,567823564167192576,positive,1.0,,,Virgin America,,miaerolinea,,1,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",,2015-02-17 15:11:02 -0800,Worldwide,Caracas,3
480,567787873778278400,positive,0.6779999999999999,,0.0,Virgin America,,BrandonS002,,0,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",,2015-02-17 12:49:12 -0800,New York City,Eastern Time (US & Canada),3
487,567770107062284288,negative,0.6515,Flight Booking Problems,0.3358,Virgin America,,paulhting,,0,@virginamerica Trying to make the change in advance (not just 24 hours prior)…tried it online earlier and it wanted $300 in change fees.,,2015-02-17 11:38:36 -0800,"Charlottesville, VA",Eastern Time (US & Canada),3
504,570307876897628160,positive,1.0,,,United,,rdowning76,,0,@united thanks,,2015-02-24 11:42:48 -0800,usa,,3
508,570306733010264064,positive,0.3441,,0.0,United,,rombaa,,0,@united thanks -- we filled it out. How's our luck with this? Is it common?,,2015-02-24 11:38:15 -0800,,,3
515,570299889688702976,positive,0.6634,,,United,,nydia376,,0,@united thanks,,2015-02-24 11:11:04 -0800,USA,,3
524,570297970891075584,neutral,1.0,,,United,,rissels,,0,@united Just submitted my response on the link you sent.,,2015-02-24 11:03:26 -0800,,Central Time (US & Canada),3
525,570296556852789250,neutral,1.0,,,United,,nydia376,,0,"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",,2015-02-24 10:57:49 -0800,USA,,3
526,570295795985080320,negative,0.6526,Can't Tell,0.6526,United,,WorstThingsBot,,0,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united,,2015-02-24 10:54:48 -0800,,,3
536,570291213007491076,negative,1.0,Customer Service Issue,0.6421,United,,runwithmiles,,0,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab,,2015-02-24 10:36:35 -0800,,Eastern Time (US & Canada),3
538,570290540274688001,neutral,0.6665,,,United,,CheerTymeDad,,0,@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .,,2015-02-24 10:33:54 -0800,,,3
539,570289777184002048,negative,1.0,Late Flight,0.6624,United,,BocheBillions,,0,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue.",,2015-02-24 10:30:53 -0800,,Central Time (US & Canada),3
550,570284934771974144,negative,1.0,Flight Attendant Complaints,0.691,United,,fitztango,,0,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer",,2015-02-24 10:11:38 -0800,"Houston, TX",,3
552,570283712409051136,positive,0.6793,,0.0,United,,mattwbaker,,0,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer.",,2015-02-24 10:06:47 -0800,The Center of My Universe,Mountain Time (US & Canada),3
553,570283571941924864,negative,1.0,Customer Service Issue,0.6806,United,,collegepathSS,,0,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad,,2015-02-24 10:06:13 -0800,California/Nevada,Pacific Time (US & Canada),3
562,570276787063816192,positive,1.0,,,United,,LukeGzus,,0,@united Thank you for that. Am I able to claim any interim expenses or is the cost of the stuff up on me?,,2015-02-24 09:39:15 -0800,,,3
566,570275153860386816,negative,1.0,Lost Luggage,0.6563,United,,Joestudent11,,0,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,,2015-02-24 09:32:46 -0800,"Jerusalem, Israel",Jerusalem,3
568,570275123854487552,negative,1.0,Customer Service Issue,0.3551,United,,CheerTymeDad,,1,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!,,2015-02-24 09:32:39 -0800,,,3
572,570271846718775296,negative,1.0,Customer Service Issue,0.6706,United,,discobiscuit63,,0,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor.""",,2015-02-24 09:19:38 -0800,,Central Time (US & Canada),3
576,570271367519604737,neutral,1.0,,,United,,kevintgarner,,0,"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",,2015-02-24 09:17:43 -0800,"Kansas City, MO",Central Time (US & Canada),3
585,570267915154538496,negative,1.0,Damaged Luggage,0.6765,United,,jasonpblakey,,0,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,"[52.59657643, -2.19877833]",2015-02-24 09:04:00 -0800,,London,3
586,570265596220166144,negative,1.0,Customer Service Issue,0.6990000000000001,United,,discobiscuit63,,1,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.,,2015-02-24 08:54:47 -0800,,Central Time (US & Canada),3
603,570257563003920384,negative,0.6354,Flight Attendant Complaints,0.6354,United,,CassiusCCIDog,,0,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!,,2015-02-24 08:22:52 -0800,,,3
612,570250053710819328,neutral,1.0,,,United,,alex_nieves,,0,@united thanks for the info I already knew...,,2015-02-24 07:53:02 -0800,Connecticut,Quito,3
629,570237629775675392,neutral,0.6051,,0.0,United,,brimalxx,,0,"@united bet you wont honour them, like mine ey",,2015-02-24 07:03:40 -0800,Manchester,,3
635,570235686470746112,negative,1.0,Can't Tell,0.6723,United,,8629Fissile,,0,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you,,2015-02-24 06:55:56 -0800,,London,3
645,570230752476049408,neutral,1.0,,,United,,Cecilia_stories,,0,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0,,2015-02-24 06:36:20 -0800,Luxembourg,Paris,3
647,570229936285331457,neutral,0.6714,,0.0,United,,etiyi,,0,@united yall should probably work on that.,,2015-02-24 06:33:05 -0800,. ,Central Time (US & Canada),3
653,570226164146397184,negative,0.6923,Customer Service Issue,0.3846,United,,_mhertz,,0,@united you have to follow me in order for me to DM...come on now,,2015-02-24 06:18:06 -0800,,Pacific Time (US & Canada),3
654,570225191458111489,negative,1.0,Bad Flight,0.6606,United,,AurelAssan,,0,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice",,2015-02-24 06:14:14 -0800,,,3
665,570211810038521856,negative,1.0,Late Flight,1.0,United,,Sri_Philips,,0,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago,,2015-02-24 05:21:04 -0800,"Chicago, IL, USA",,3
670,570208036314222592,positive,1.0,,,United,,ShawnaNewman,,0,"@united thanks, just sent :)",,2015-02-24 05:06:04 -0800,searching for coffee,Eastern Time (US & Canada),3
673,570204730745421826,negative,1.0,Flight Attendant Complaints,1.0,United,,Evan_Flay,,0,@united are the ones who make it difficult for me.,"[29.98698389, -90.25081767]",2015-02-24 04:52:56 -0800,Seattle,Pacific Time (US & Canada),3
675,570203218686423041,negative,1.0,Cancelled Flight,1.0,United,,bcarlsrud,,0,@united how does it get Cancelled Flightled 10 hours before take off?,,2015-02-24 04:46:55 -0800,,Central Time (US & Canada),3
681,570196424043814912,neutral,0.6765,,0.0,United,,ShawnaNewman,,0,"@united booked award tix on ThaiAirways but I'm not seeing a conf# for them, just the United Flight Booking Problems#. Can you get get the Thai# for me?",,2015-02-24 04:19:55 -0800,searching for coffee,Eastern Time (US & Canada),3
689,570185687569469440,negative,1.0,Lost Luggage,1.0,United,,jasonpblakey,,0,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines","[52.48854137, -1.91022836]",2015-02-24 03:37:16 -0800,,London,3
698,570175513035214848,negative,1.0,Lost Luggage,1.0,United,,michaelsalinger,,0,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines,,2015-02-24 02:56:50 -0800,"mentor, Ohio",Eastern Time (US & Canada),3
716,570142263290011649,positive,1.0,,,United,,The5y5Adm1n,,0,@united thank you. Been trying for two days to set this up.,,2015-02-24 00:44:42 -0800,,,3
718,570136977074491392,negative,1.0,Can't Tell,0.3635,United,,vancouverbrit,,0,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???,,2015-02-24 00:23:42 -0800,Vancouver BC,Pacific Time (US & Canada),3
724,570121361953202178,negative,1.0,Flight Attendant Complaints,0.3474,United,,CellucorJulio,,0,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room...",,2015-02-23 23:21:39 -0800,CORGaming@cellucor.com,Central Time (US & Canada),3
726,570119457286328320,negative,1.0,Lost Luggage,0.3553,United,,tiffy_mac,,0,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!",,2015-02-23 23:14:05 -0800,"Brighton, UK
",,3
730,570115366023770112,negative,1.0,Customer Service Issue,1.0,United,,747_TJ,,0,@united Thanks for the lack of help and the canned response from the 1K desk!,,2015-02-23 22:57:50 -0800,,,3
748,570102725842575360,neutral,1.0,,,United,,dafg42,,0,@united I sent in my feedback.  Thank you.,,2015-02-23 22:07:36 -0800,,Arizona,3
759,570095172303900672,negative,1.0,Flight Booking Problems,0.6842,United,,FIETA_DOC,,0,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket.",,2015-02-23 21:37:35 -0800,"Madison, NJ",,3
