tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,label
5.7025E+17,neutral,0.703,,0,United,,MyCustoAdvocate,,0,@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,,24-02-2015 07:52,"Miami, New York, Boston",,0
5.70248E+17,neutral,0.6804,,0,United,,kelseyblack92,,0,@united is there an email address I can reach? Too long for a DM.,,24-02-2015 07:44,Canada,Eastern Time (US & Canada),0
5.70246E+17,negative,1,Flight Booking Problems,0.674,United,,fatwmnonthemtn,,0,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.,,24-02-2015 07:35,"Summit, NJ",Central Time (US & Canada),0
5.70242E+17,negative,1,Lost Luggage,1,United,,ChrisNielsen2,,0,"@united I received 1 bag last night, I am still missing the other one.",,24-02-2015 07:20,"Hoops City (Memphis, TN)",,0
5.7024E+17,negative,1,Bad Flight,1,United,,campilley,,0,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench.",,24-02-2015 07:13,Europe,Amsterdam,0
5.70236E+17,negative,1,Customer Service Issue,0.6413,United,,Evan_Flay,,0,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,","[29.98350019, -95.33675519]",24-02-2015 06:57,Seattle,Pacific Time (US & Canada),0
5.70235E+17,negative,0.6501,Customer Service Issue,0.3265,United,,christinphillip,,0,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.,,24-02-2015 06:52,"Princeton, NJ",Central Time (US & Canada),0
5.70235E+17,negative,1,Customer Service Issue,1,United,,growingpangs,,0,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service",,24-02-2015 06:51,"Chicago, IL",Central Time (US & Canada),0
5.70233E+17,neutral,1,,,United,,TaylorGravett,,0,@united please be good to me this weekend!,,24-02-2015 06:44,Kansas,Central Time (US & Canada),0
5.70233E+17,negative,1,Customer Service Issue,1,United,,Mateyush,,0,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better.",,24-02-2015 06:43,Above the B/D/N/Q/R/2/3/4/5,Eastern Time (US & Canada),0
5.70232E+17,negative,0.6611,Can't Tell,0.6611,United,,dlm_3,,0,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error,,24-02-2015 06:43,Global,Eastern Time (US & Canada),0
5.70211E+17,neutral,1,,,United,,BouleChitte,,0,@united how about 3659 YUL-ORD?,,24-02-2015 05:19,,,0
5.70209E+17,neutral,0.352,,0,United,,LukeGzus,,0,@united Done and done,,24-02-2015 05:11,,,0
5.70201E+17,negative,1,Can't Tell,0.3547,United,,MeganHolstein,,0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication,,24-02-2015 04:37,,,0
5.70197E+17,positive,0.6667,,0,United,,T2News,,0,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round",,24-02-2015 04:20,Glasgow,London,0
5.70187E+17,negative,1,Customer Service Issue,0.6995,United,,GSG_President,,0,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher,,24-02-2015 03:42,,Quito,0
5.70184E+17,positive,1,,,United,,RichHays,,0,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...,,24-02-2015 03:29,,Eastern Time (US & Canada),0
5.70179E+17,negative,1,Can't Tell,1,United,,inspirevery,,0,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC,,24-02-2015 03:11,,,0
5.70176E+17,negative,0.6296,Customer Service Issue,0.6296,United,,sothenbethsaid,,0,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)",,24-02-2015 02:57,Nottingham,London,0
5.70165E+17,negative,0.6635,Lost Luggage,0.6635,United,,LukeGzus,,0,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.,,24-02-2015 02:16,,,0
5.70164E+17,neutral,0.6904,,0,United,,LukeGzus,,0,@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,,24-02-2015 02:09,,,0
5.70122E+17,positive,1,,,United,,FIETA_DOC,,0,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!",,23-02-2015 23:22,"Madison, NJ",,0
5.70121E+17,neutral,0.6429,,0,United,,michaelsalinger,,0,@united keep me updated. Let me know that the bags make the flight to j-burg,,23-02-2015 23:20,"mentor, Ohio",Eastern Time (US & Canada),0
5.70115E+17,neutral,1,,,United,,xRaeCatherine,,0,@united I would like to know what's going on before his current flight lands.,,23-02-2015 22:57,,,0
5.70115E+17,negative,1,Lost Luggage,0.3684,United,,mortgagesbycoop,,0,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?,,23-02-2015 22:54,New Jersey,,0
5.7011E+17,negative,1,Cancelled Flight,0.3444,United,,kbleggett,,0,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,,23-02-2015 22:38,"Ottawa, Canada",Eastern Time (US & Canada),0
5.7011E+17,positive,1,,,United,,Emily_VII,,0,@united you are one great airline ❤️,,23-02-2015 22:35,,Hawaii,0
5.70109E+17,negative,1,Customer Service Issue,0.6833,United,,fairplay500,,0,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,"[0.0, 0.0]",23-02-2015 22:31,Huntsville AL USA,Central Time (US & Canada),0
5.70106E+17,neutral,1,,,United,,The_Playmaker20,,0,@united thanks! Will you guys be getting the A380s anytime soon?,,23-02-2015 22:19,,,0
5.70105E+17,negative,0.6492,Lost Luggage,0.6492,United,,kevinforgoogle,,0,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...,,23-02-2015 22:18,"San Francisco, CA",,0
5.70105E+17,negative,0.6667,Customer Service Issue,0.3542,United,,Meyer47,,0,@united what is that going to do for you? Nothing just like you always do,,23-02-2015 22:15,Iowa,,0
5.70097E+17,negative,1,Can't Tell,1,United,,mbarnas,,0,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines,"[32.86680572, -80.01338439]",23-02-2015 21:43,"Rochester, NY",Eastern Time (US & Canada),0
5.70096E+17,negative,1,Customer Service Issue,1,United,,real_steve_ward,,0,"@united Thanks; might want to fix this line: ""Our Customer Care team is currently responding to most inquiries within 7-10 business days.""",,23-02-2015 21:42,Chicago / Orlando / airplanes,Eastern Time (US & Canada),0
5.70093E+17,neutral,1,,,United,,FIETA_DOC,,0,@united Deep Vein thrombosis,,23-02-2015 21:29,"Madison, NJ",,0
5.70083E+17,positive,1,,,United,,CaseyWoodTV,,0,@united you too!,,23-02-2015 20:49,,Eastern Time (US & Canada),0
5.70083E+17,positive,1,,,United,,PhilFromChico,,0,@united is my favorite airline.,,23-02-2015 20:49,"New York City, NY",Pacific Time (US & Canada),0
5.70081E+17,neutral,0.6489,,0,United,,xRaeCatherine,,0,@united I sent the message. Let me know ASAP.,,23-02-2015 20:42,,,0
5.70074E+17,positive,0.6634,,0,United,,Meyer47,,1,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM,,23-02-2015 20:12,Iowa,,0
5.70071E+17,negative,0.6588,Can't Tell,0.6588,United,,oduric,,0,@united Your website deserves a new design. #html5 FTW!,,23-02-2015 20:03,Singapore,Berlin,0
5.70068E+17,negative,1,Customer Service Issue,0.3582,United,,sacsmitty,,0,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.,,23-02-2015 19:47,"Rocklin, CA",,0
5.70064E+17,negative,1,Late Flight,1,United,,RyanMagovs,,0,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable.",,23-02-2015 19:33,,,0
5.70061E+17,negative,0.6688,Can't Tell,0.3519,United,,cyberhosed,,0,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?,,23-02-2015 19:23,,,0
